,symbol
0,BTC-USD
1,ETH-USD
2,USDT-USD
3,XRP-USD
4,BNB-USD
5,SOL-USD
6,USDC-USD
7,DOGE-USD
8,TRX-USD
9,ADA-USD
10,WTRX-USD
11,STETH-USD
12,WBTC-USD
13,HYPE32196-USD
14,WSTETH-USD
15,SUI20947-USD
16,LINK-USD
17,WETH-USD
18,AVAX-USD
19,BCH-USD
20,XLM-USD
21,LEO-USD
22,TON11419-USD
23,SHIB-USD
24,HBAR-USD
25,WBETH-USD
26,WEETH-USD
27,USDS33039-USD
28,AETHWETH-USD
29,BTCB-USD
30,LTC-USD
31,DOT-USD
32,XMR-USD
33,USDE29470-USD
34,BGB-USD
35,PEPE24478-USD
36,DAI-USD
37,UNI7083-USD
38,PI35697-USD
39,AAVE-USD
40,CBBTC32994-USD
41,AETHUSDT-USD
42,TAO22974-USD
43,SUSDE-USD
44,ICP-USD
45,OKB-USD
46,NEAR-USD
47,APT21794-USD
48,CRO-USD
49,JITOSOL-USD
50,ONDO-USD
51,ETC-USD
52,KAS-USD
53,POL28321-USD
54,MNT27075-USD
55,GT-USD
56,VET-USD
57,USD136148-USD
58,TRUMP-OFFICIAL-USD
59,TRUMP35336-USD
60,ENA-USD
61,RENDER-USD
62,ARB11841-USD
63,FTN-USD
64,FET-USD
65,SKY33038-USD
66,WLD-USD
67,LBTC33652-USD
68,FIL-USD
69,ATOM-USD
70,ALGO-USD
71,JLP-USD
72,BBTC31369-USD
73,FDUSD-USD
74,QNT-USD
75,JUP29210-USD
76,TIA-USD
77,SPX28081-USD
78,BNSOL-USD
79,KCS-USD
80,BONK-USD
81,VIRTUAL-USD
82,WZEDX-USD
83,INJ-USD
84,RETH-USD
85,FARTCOIN-USD
86,RSETH-USD
87,FLR-USD
88,OP-USD
89,IP-USD
90,S32684-USD
91,SEI-USD
92,XDC-USD
93,STX4847-USD
94,FORM23635-USD
95,WBNB-USD
96,A36462-USD
97,METH29035-USD
98,WIF-USD
99,SOLVBTC-USD
100,PYUSD-USD
101,GRT6719-USD
102,IMX10603-USD
103,KAIA-USD
104,CRV-USD
105,EZETH-USD
106,FLOKI-USD
107,STKAAVE-USD
108,ENS-USD
109,LDO-USD
110,WFTM-USD
111,ZEC-USD
112,CAKE-USD
113,ZBU-USD
114,XAUT-USD
115,THETA-USD
116,PAXG-USD
117,NEXO-USD
118,MSOL-USD
119,VBTC-USD
120,GALA-USD
121,DEXE-USD
122,SAND-USD
123,JASMY-USD
124,OSETH-USD
125,IOTA-USD
126,JTO-USD
127,PENGU34466-USD
128,PYTH-USD
129,PENDLE-USD
130,FLZ-USD
131,WAL36119-USD
132,RAY-USD
133,AB-USD
134,BTT-USD
135,BSV-USD
136,CORE23254-USD
137,XTZ-USD
138,WHITE34143-USD
139,WXTZ-USD
140,USD0-USD
141,FLOW-USD
142,USDCE-USD
143,XSOLVBTC-USD
144,RUNE-USD
145,MANA-USD
146,USDY29256-USD
147,ZKJ-USD
148,CMETH-USD
149,BRETT29743-USD
150,USDF35721-USD
151,SLISBNB-USD
152,WOULD-USD
153,DEEP33391-USD
154,LSETH-USD
155,COMP5692-USD
156,TBTC26133-USD
157,HNT-USD
158,APE18876-USD
159,SYRUP-USD
160,USD033981-USD
161,KTA-USD
162,BTCB20721-USD
163,XCN18679-USD
164,CLISBNB-USD
165,EIGEN-USD
166,TUSD-USD
167,AIOZ-USD
168,GRASS32956-USD
169,VBNB-USD
170,AERO29270-USD
171,STRK22691-USD
172,KAVA-USD
173,AR-USD
174,AXL17799-USD
175,DYDX-USD
176,DOG30933-USD
177,AXS-USD
178,XEC-USD
179,EGLD-USD
180,NEO-USD
181,MORPHO34104-USD
182,ATH30083-USD
183,EETH-USD
184,ETHFI-USD
185,BDX-USD
186,SUPER8290-USD
187,MOVE32452-USD
188,CFX-USD
189,MOG-USD
190,USDD-USD
191,NFT9816-USD
192,PUMPBTC-USD
193,RSR-USD
194,KAITO-USD
195,ETHX-USD
196,TEL-USD
197,RLUSD-USD
198,POPCAT28782-USD
199,CHZ-USD
200,CBETH-USD
201,SUN-USD
202,RON14101-USD
203,WCHZ-USD
204,B-USD
205,W-USD
206,VUSDT-USD
207,UPC-USD
208,AKT-USD
209,TWT-USD
210,JST-USD
211,EBTC-USD
212,AMP-USD
213,GNO-USD
214,LUNC-USD
215,WAVAX-USD
216,LPT-USD
217,BEAM28298-USD
218,FTT-USD
219,OHM-USD
220,CTC-USD
221,FRAX-USD
222,RVN-USD
223,1INCH-USD
224,TURBO-USD
225,ULTIMA-USD
226,ZBCN-USD
227,CHEEL-USD
228,MEW30126-USD
229,USDG33793-USD
230,RBTC-USD
231,BERA-USD
232,OM-USD
233,SAFE21585-USD
234,CVX-USD
235,SAVAX-USD
236,KSM-USD
237,PNUT-USD
238,SFRXETH-USD
239,FRAX6953-USD
240,USDO36067-USD
241,BETH-USD
242,DASH-USD
243,CUSDO-USD
244,SAROS-USD
245,MINA-USD
246,CHEEMS33280-USD
247,DCR-USD
248,WPLS-USD
249,MX-USD
